REFERENCE_NUMBER,NUMBER_OF_VEHICLES,FULL_DATE,FULL_TIME,ROAD_CLASS,ROAD_SURFACE_CODE,LIGHTING_CODE,WEATHER_CODE,CASUALTY_NUMBER,CASUALTY_CLASS,SEX_OF_CASUALTY,AGE_OF_CASUALTY,CASUALTY_SEVERITY,VEHICLE_1,VEHICLE_2,VEHICLE_3,VEHICLE_4,VEHICLE_5,VEHICLE_6,VEHICLE_7,VEHICLE_8,VEHICLE_9,VEHICLE_10
1418652,2,09/03/2024,335,1,1,4,1,1,1,1,37,1,9,21,0,0,0,0,0,0,0,0
1418743,1,09/03/2024,1150,3,1,1,1,1,3,2,74,3,5,0,0,0,0,0,0,0,0,0
1418793,2,09/03/2024,1100,6,1,1,1,1,1,1,73,3,9,9,0,0,0,0,0,0,0,0
1418867,2,09/03/2024,2005,6,1,4,1,1,1,1,14,2,1,9,0,0,0,0,0,0,0,0
1418929,2,02/03/2024,2020,4,2,4,1,1,1,2,21,2,9,9,0,0,0,0,0,0,0,0
1418956,1,09/03/2024,1557,6,1,1,1,1,3,2,27,3,11,0,0,0,0,0,0,0,0,0
1418976,1,10/03/2024,1147,3,2,1,2,1,1,1,71,3,9,0,0,0,0,0,0,0,0,0
1418976,1,10/03/2024,1147,3,2,1,2,2,2,2,80,2,9,0,0,0,0,0,0,0,0,0
1418988,2,10/03/2024,1210,6,2,1,2,1,2,2,64,3,9,9,0,0,0,0,0,0,0,0
1419011,2,05/03/2024,1625,6,1,5,1,1,1,2,41,3,9,1,0,0,0,0,0,0,0,0
1419040,1,10/03/2024,1335,6,2,1,2,1,3,1,38,3,9,0,0,0,0,0,0,0,0,0
1419114,1,10/03/2024,2105,6,2,4,2,1,1,1,49,2,5,0,0,0,0,0,0,0,0,0
1419352,1,09/03/2024,2300,6,1,4,1,1,3,1,4,3,1,0,0,0,0,0,0,0,0,0
1419732,2,11/03/2024,1410,6,1,1,9,1,1,2,33,3,9,1,0,0,0,0,0,0,0,0
1419945,2,11/03/2024,1905,3,1,4,9,1,1,2,47,3,9,9,0,0,0,0,0,0,0,0
1420215,2,12/03/2024,850,3,2,1,2,1,2,1,14,3,9,9,0,0,0,0,0,0,0,0
1420226,1,10/03/2024,1730,3,1,1,1,1,3,1,50,2,9,0,0,0,0,0,0,0,0,0
