"REFERENCE_NUMBER","EASTING","NORTHING","NUMBER_OF_VEHICLES","ACCIDENT_DATE","TIME_24HR","ROAD_CLASS","ROAD_SURFACE","LIGHTING_CONDITIONS","WEATHER_CONDITIONS","CASUALTY_CLASS","CASUALTY_SEVERITY","SEX_OF_CASUALTY","AGE_OF_CASUALTY","VEHICLE_TYPE","ROAD_CLASS_CODE","ROAD_SURFACE_CODE","LIGHTING_CODE","WEATHER_CODE","CASUALTY_CLASS_CODE","CASUALTY_SEVERITY_CODE","SEX_OF_CASUALTY_CODE","AGE_OF_CASUALTY_CODE","VEHICLE_TYPE_CODE"
"22K0381","425654","443018","2","20-Feb-15","1010","A","Dry","Daylight: street lights present","Fine without high winds","Driver/Rider","Slight","Male","28","Goods vehicle 3.5 tonnes mgw and under","3","1","1","1","","3","1","28","19"
"22L0805","421043","434601","1","21-Feb-15","1411","Unclassified","Dry","Daylight: street lights present","Fine without high winds","Pedestrian","Slight","Female","45","Bus or coach (17 or more passenger seats)","6","1","1","1","3","3","2","45","11"
"22L1198","431194","438140","2","21-Feb-15","850","Unclassified","Dry","Daylight: street lights present","Fine without high winds","Driver/Rider","Slight","Female","67","Pedal cycle","6","1","1","1","","3","2","67","1"
"22L1303","424220","435597","1","21-Feb-15","1923","A","Wet / Damp","Darkness: street lights present and lit","Fine without high winds","Pedestrian","Serious","Male","53","Car","3","2","4","1","3","2","1","53","9"
"22L1564","439750","434129","2","21-Feb-15","2205","Motorway","Dry","Darkness: no street lighting","Fine without high winds","Driver/Rider","Serious","Female","28","Car","1","1","6","1","","2","2","28","9"
"22M0335","423841","434266","2","22-Feb-15","702","Unclassified","Dry","Daylight: street lights present","Fine without high winds","Driver/Rider","Slight","Male","45","Goods vehicle 3.5 tonnes mgw and under","6","1","1","1","","3","1","45","19"
"22M0577","440434","448154","1","22-Feb-15","1153","Unclassified","Dry","Daylight: street lights present","Fine without high winds","Pedestrian","Slight","Male","78","Car","6","1","1","1","3","3","1","78","9"
"22M0972","431860","430424","1","22-Feb-15","1646","A","Wet / Damp","Daylight: street lights present","Fine without high winds","Driver/Rider","Slight","Male","26","Car","3","2","1","1","","3","1","26","9"
"22M0972","431860","430424","1","22-Feb-15","1646","A","Wet / Damp","Daylight: street lights present","Fine without high winds","Passenger","Slight","Female","27","Car","3","2","1","1","","3","2","27","9"
"22N1218","428385","436496","1","23-Feb-15","1819","Unclassified","Dry","Darkness: street lights present and lit","Fine without high winds","Pedestrian","Slight","Male","44","Car","6","1","4","1","3","3","1","44","9"
"22N1481","422226","441980","2","23-Feb-15","2110","A","Wet / Damp","Darkness: street lights present and lit","Raining without high winds","Driver/Rider","Slight","Male","53","Car","3","2","4","2","","3","1","53","9"
