Reference Number,Number of vehicles,Date,Time,Road class,Road surface description,Lighting conditions,Weather conditions,Casualty number,Casualty Class,Sex of Casualty,Age of Casualty,Casualty Severity,Type of vehicle 1,Type of vehicle 2,Type of vehicle 3,Type of vehicle 4,Type of vehicle 5,Type of vehicle 6,Type of vehicle 7,Type of vehicle 8,Type of vehicle 9,Type of vehicle 10
1139890,3,03/02/2022,0919,6,1,1,1,1,1,2,61,2,9,9,9,0,0,0,0,0,0,0
1139923,1,03/02/2022,1655,6,1,5,1,1,1,1,54,2,5,0,0,0,0,0,0,0,0,0
1139948,2,03/02/2022,1615,4,1,1,1,1,1,1,38,2,21,1,0,0,0,0,0,0,0,0
1139953,2,03/02/2022,1845,6,1,4,1,1,1,1,41,3,9,1,0,0,0,0,0,0,0,0
1140116,2,03/02/2022,1240,4,2,1,1,1,1,2,25,3,9,9,0,0,0,0,0,0,0,0
1140116,2,03/02/2022,1240,4,2,1,1,2,2,2,1,3,9,9,0,0,0,0,0,0,0,0
1140116,2,03/02/2022,1240,4,2,1,1,3,2,2,26,3,9,9,0,0,0,0,0,0,0,0
1140123,2,03/02/2022,1145,6,1,1,4,1,1,1,42,3,9,9,0,0,0,0,0,0,0,0
1140175,2,03/02/2022,1500,3,1,1,1,1,1,1,23,3,20,21,0,0,0,0,0,0,0,0
1140301,2,04/02/2022,0840,6,2,1,1,1,1,2,22,3,9,9,0,0,0,0,0,0,0,0
1140392,2,04/02/2022,2052,3,2,4,1,1,1,2,71,3,9,9,0,0,0,0,0,0,0,0
1140419,2,04/02/2022,1600,4,1,1,9,1,1,2,16,3,9,90,0,0,0,0,0,0,0,0
1140424,1,03/02/2022,1745,6,2,4,1,1,2,2,1,2,11,0,0,0,0,0,0,0,0,0
1140444,3,05/02/2022,1430,6,2,1,2,1,1,1,35,2,9,9,9,0,0,0,0,0,0,0
1140447,2,05/02/2022,1423,6,2,1,5,1,1,2,46,2,9,9,0,0,0,0,0,0,0,0
1140458,2,28/01/2022,1615,3,1,1,1,1,1,1,52,2,8,1,0,0,0,0,0,0,0,0
1140471,2,04/02/2022,1220,3,1,1,4,1,1,2,24,2,9,9,0,0,0,0,0,0,0,0
1140471,2,04/02/2022,1220,3,1,1,4,2,1,1,30,3,9,9,0,0,0,0,0,0,0,0
1140605,3,06/02/2022,1000,3,2,1,2,1,2,1,30,3,9,9,9,0,0,0,0,0,0,0
1140620,2,06/02/2022,1021,6,2,1,8,1,3,2,32,3,9,9,0,0,0,0,0,0,0,0
1140991,2,07/02/2022,0846,6,4,1,1,1,1,1,55,3,19,9,0,0,0,0,0,0,0,0
1141166,2,07/02/2022,1515,3,2,1,1,1,1,1,40,3,3,9,0,0,0,0,0,0,0,0
1141205,2,08/02/2022,0935,3,1,1,1,1,1,2,46,3,9,9,0,0,0,0,0,0,0,0
1141474,1,17/01/2022,1630,4,1,7,9,1,3,2,22,2,98,0,0,0,0,0,0,0,0,0
1141479,2,08/02/2022,0750,3,2,1,2,1,2,2,19,3,98,9,0,0,0,0,0,0,0,0
1141710,2,08/02/2022,1445,3,2,1,1,1,1,2,30,3,9,9,0,0,0,0,0,0,0,0
1141844,2,04/02/2022,0700,3,1,1,1,1,1,1,43,3,9,9,0,0,0,0,0,0,0,0
1141972,2,09/02/2022,2301,6,2,4,1,1,1,1,25,3,9,9,0,0,0,0,0,0,0,0
1142387,1,10/02/2022,0815,6,1,1,1,1,3,1,46,3,9,0,0,0,0,0,0,0,0,0
1142433,1,10/02/2022,1726,6,1,4,4,1,3,1,81,2,9,0,0,0,0,0,0,0,0,0
1142436,2,10/02/2022,0720,3,1,1,1,1,1,1,29,3,9,9,0,0,0,0,0,0,0,0
1142456,2,10/02/2022,1940,6,1,4,1,1,1,1,23,3,11,9,0,0,0,0,0,0,0,0
1142468,2,10/02/2022,2040,3,1,4,1,1,1,2,36,3,9,9,0,0,0,0,0,0,0,0
1142468,2,10/02/2022,2040,3,1,4,1,2,2,1,1,3,9,9,0,0,0,0,0,0,0,0
