Reference Number,Number of vehicles,Date,Time,Road class,Road surface description,Lighting conditions,Weather conditions,Casualty number,Casualty Class,Sex of Casualty,Age of Casualty,Casualty Severity,Type of vehicle 1,Type of vehicle 2,Type of vehicle 3,Type of vehicle 4,Type of vehicle 5,Type of vehicle 6,Type of vehicle 7,Type of vehicle 8,Type of vehicle 9,Type of vehicle 10
1267527,2,23/01/2023,1530,6,1,1,1,1,1,1,32,3,9,9,0,0,0,0,0,0,0,0
1267566,1,24/01/2023,1430,6,2,1,1,1,1,1,21,2,23,0,0,0,0,0,0,0,0,0
1267570,2,24/01/2023,1140,3,1,1,1,1,1,2,52,3,9,9,0,0,0,0,0,0,0,0
1267576,2,24/01/2023,1707,1,2,4,1,1,1,1,36,3,9,9,0,0,0,0,0,0,0,0
1267576,2,24/01/2023,1707,1,2,4,1,2,1,1,37,2,9,9,0,0,0,0,0,0,0,0
1267584,2,24/01/2023,1620,6,1,4,1,1,1,1,38,3,1,9,0,0,0,0,0,0,0,0
1267612,2,24/01/2023,1949,6,1,4,1,1,1,2,42,2,9,9,0,0,0,0,0,0,0,0
1268074,1,25/01/2023,1730,6,1,4,1,1,3,1,47,1,9,0,0,0,0,0,0,0,0,0
1268300,2,25/01/2023,1815,6,2,7,1,1,1,2,55,3,9,9,0,0,0,0,0,0,0,0
1268424,2,26/01/2023,1352,1,1,1,1,1,1,2,32,3,21,9,0,0,0,0,0,0,0,0
1268424,2,26/01/2023,1352,1,1,1,1,2,2,1,33,3,21,9,0,0,0,0,0,0,0,0
1268529,2,25/01/2023,0842,6,1,1,1,1,1,2,32,3,9,9,0,0,0,0,0,0,0,0
1268573,2,26/01/2023,2024,3,2,6,1,1,1,1,64,3,9,9,0,0,0,0,0,0,0,0
1268740,2,26/01/2023,1920,4,1,4,1,1,1,1,29,3,9,9,0,0,0,0,0,0,0,0
1268782,2,27/01/2023,1111,6,2,1,1,1,2,2,19,3,9,9,0,0,0,0,0,0,0,0
1268782,2,27/01/2023,1111,6,2,1,1,2,1,2,27,3,9,9,0,0,0,0,0,0,0,0
1268989,1,27/01/2023,1805,6,1,4,1,1,3,1,7,3,9,0,0,0,0,0,0,0,0,0
1269010,5,27/01/2023,2200,6,1,4,1,1,3,1,49,3,9,9,9,9,9,0,0,0,0,0
1269015,1,27/01/2023,2315,6,2,4,4,1,2,2,37,3,22,0,0,0,0,0,0,0,0,0
1269138,3,28/01/2023,1014,3,2,1,8,1,1,1,45,3,9,9,9,0,0,0,0,0,0,0
1269326,1,29/01/2023,0025,6,2,4,8,1,3,1,24,3,9,0,0,0,0,0,0,0,0,0
1269361,1,28/01/2023,1510,6,1,1,1,1,2,2,61,3,11,0,0,0,0,0,0,0,0,0
1269361,1,28/01/2023,1510,6,1,1,1,2,2,2,36,3,11,0,0,0,0,0,0,0,0,0
1269368,2,29/01/2023,0030,6,1,4,1,1,1,1,29,3,9,9,0,0,0,0,0,0,0,0
1269474,2,29/01/2023,2028,6,2,4,1,1,1,1,22,3,9,9,0,0,0,0,0,0,0,0
1269675,2,30/01/2023,0834,1,1,1,1,1,1,1,59,2,5,21,0,0,0,0,0,0,0,0
1269898,2,30/01/2023,1300,3,1,1,1,1,3,2,59,3,9,9,0,0,0,0,0,0,0,0
1269954,2,30/01/2023,1740,6,1,4,1,1,1,1,17,2,9,3,0,0,0,0,0,0,0,0
1270351,2,31/01/2023,0955,6,1,1,4,1,1,2,34,2,9,9,0,0,0,0,0,0,0,0
1270351,2,31/01/2023,0955,6,1,1,4,2,1,1,43,3,9,9,0,0,0,0,0,0,0,0
1270351,2,31/01/2023,0955,6,1,1,4,3,2,2,36,2,9,9,0,0,0,0,0,0,0,0
1270422,1,31/01/2023,0755,6,1,1,4,1,3,2,14,3,9,0,0,0,0,0,0,0,0,0
1270453,2,30/01/2023,0815,6,2,1,1,1,1,1,12,3,1,9,0,0,0,0,0,0,0,0
1270617,2,31/01/2023,1752,3,1,4,1,1,1,1,50,2,9,1,0,0,0,0,0,0,0,0
1270864,1,01/02/2023,1005,6,2,1,4,1,3,2,77,2,1,0,0,0,0,0,0,0,0,0
1270977,2,01/02/2023,1027,6,2,1,4,1,1,2,31,3,11,9,0,0,0,0,0,0,0,0
1270977,2,01/02/2023,1027,6,2,1,4,2,2,1,24,3,11,9,0,0,0,0,0,0,0,0
1271128,2,25/01/2023,2115,2,1,7,9,1,1,2,55,3,9,9,0,0,0,0,0,0,0,0
1271140,1,01/02/2023,0825,6,2,1,5,1,3,2,5,3,9,0,0,0,0,0,0,0,0,0
1271672,2,02/02/2023,2120,6,1,4,1,1,1,1,21,2,19,1,0,0,0,0,0,0,0,0
1271995,1,03/02/2023,1206,6,2,1,1,1,3,1,60,3,19,0,0,0,0,0,0,0,0,0
1272099,2,03/02/2023,1213,6,2,1,1,1,3,2,69,2,9,9,0,0,0,0,0,0,0,0
1272112,2,02/02/2023,1915,3,1,4,1,1,1,1,18,2,9,1,0,0,0,0,0,0,0,0
1272133,1,03/02/2023,1615,6,2,1,2,1,3,1,25,3,9,0,0,0,0,0,0,0,0,0
1272179,3,03/02/2023,1727,6,1,4,1,1,1,2,61,3,9,9,9,0,0,0,0,0,0,0
1272272,2,28/01/2023,1945,6,1,4,1,1,1,1,20,3,9,1,0,0,0,0,0,0,0,0
1272307,2,03/02/2023,1215,3,1,1,1,1,1,2,34,3,9,9,0,0,0,0,0,0,0,0
1272424,1,04/02/2023,2240,6,1,4,1,1,1,1,41,2,90,0,0,0,0,0,0,0,0,0
1272475,2,05/02/2023,0901,6,1,1,1,1,1,1,46,3,11,9,0,0,0,0,0,0,0,0
1272544,1,03/02/2023,2215,6,1,4,1,1,3,1,17,2,9,0,0,0,0,0,0,0,0,0
1272545,2,05/02/2023,0910,6,1,1,1,1,1,1,18,2,9,1,0,0,0,0,0,0,0,0
1272592,1,05/02/2023,2015,6,1,6,8,1,3,2,77,2,9,0,0,0,0,0,0,0,0,0
